model,accuracy,precision_weighted,recall_weighted,f1_weighted,roc_auc_ovr,confusion_matrix,precision_per_class,recall_per_class,f1_per_class,support_per_class,silhouette,calinski_harabasz,davies_bouldin,inertia,cluster_label_map
random_forest,0.9781576448243114,0.9784448810436911,0.9781576448243114,0.9781721961908818,0.9820403958660046,"[[ 35   2   0   0   0   0   0   1]
 [  0   5   0   0   0   0   0   1]
 [  0   0 200   0   0   0   0   0]
 [  0   0   0 199   0   0   0   1]
 [  0   0   0   0 200   0   0   0]
 [  1   0   4   0   0 188   1   1]
 [  3   0   0   0   0   3  36   0]
 [  1   0   0   0   1   1   2 167]]","[0.875, 0.7142857142857143, 0.9803921568627451, 1.0, 0.9950248756218906, 0.9791666666666666, 0.9230769230769231, 0.9766081871345029]","[0.9210526315789473, 0.8333333333333334, 1.0, 0.995, 1.0, 0.9641025641025641, 0.8571428571428571, 0.9709302325581395]","[0.8974358974358975, 0.7692307692307693, 0.9900990099009901, 0.9974937343358395, 0.9975062344139651, 0.9715762273901809, 0.8888888888888888, 0.9737609329446064]","[38, 6, 200, 200, 200, 195, 42, 172]",,,,,
mlp,0.9183285849952516,0.940392194625111,0.9183285849952516,0.9248323941541396,0.9895541486188815,"[[ 30   4   0   0   4   0   0   0]
 [  0   6   0   0   0   0   0   0]
 [  0   0 199   0   0   0   0   1]
 [  0   0   1 194   0   4   0   1]
 [  0   0   0   0 198   2   0   0]
 [  0   0   3   3  20 165   1   3]
 [  1   4   0   0   4   0  33   0]
 [  0  18   1   0   6   2   3 142]]","[0.967741935483871, 0.1875, 0.9754901960784313, 0.9847715736040609, 0.853448275862069, 0.953757225433526, 0.8918918918918919, 0.9659863945578231]","[0.7894736842105263, 1.0, 0.995, 0.97, 0.99, 0.8461538461538461, 0.7857142857142857, 0.8255813953488372]","[0.8695652173913043, 0.3157894736842105, 0.9851485148514851, 0.9773299748110831, 0.9166666666666666, 0.8967391304347826, 0.8354430379746836, 0.890282131661442]","[38, 6, 200, 200, 200, 195, 42, 172]",,,,,
kmeans,0.42924976258309594,0.39971983246389026,0.42924976258309594,0.3400173527783764,,"[[ 11   0   6   8  13   0   0   0]
 [  0   0   0   5   1   0   0   0]
 [  0   0 170   2  25   0   0   3]
 [  0   0   6  20 174   0   0   0]
 [  0   0  12   2 186   0   0   0]
 [  0   0 146   6  43   0   0   0]
 [  0   0  20   4  18   0   0   0]
 [  0   0  62  18  27   0   0  65]]","[1.0, 0.0, 0.4028436018957346, 0.3076923076923077, 0.38193018480492813, 0.0, 0.0, 0.9558823529411765]","[0.2894736842105263, 0.0, 0.85, 0.1, 0.93, 0.0, 0.0, 0.37790697674418605]","[0.4489795918367347, 0.0, 0.5466237942122186, 0.1509433962264151, 0.5414847161572053, 0.0, 0.0, 0.5416666666666666]","[38, 6, 200, 200, 200, 195, 42, 172]",0.4201903920382061,330.36805644170016,0.9626209343413626,21335.305303039968,"{np.int32(0): 2, np.int32(1): 4, np.int32(2): 3, np.int32(3): 7, np.int32(4): 0, np.int32(5): 7, np.int32(6): 2}"
dbscan,0.5887939221272555,0.7126293871987895,0.5887939221272555,0.5287802727588716,,"[[  6   0   0   0   4   0   0  28]
 [  0   0   0   0   0   0   0   6]
 [  0   0 195   0   0   0   0   5]
 [  0   0   4  85  63   0   0  48]
 [  0   0   0   0 198   0   0   2]
 [  0   0 121   9  21  17   0  27]
 [  5   0   0   0   5   0  11  21]
 [  0   0  55   0   9   0   0 108]]","[0.5454545454545454, 0.0, 0.52, 0.9042553191489362, 0.66, 1.0, 1.0, 0.44081632653061226]","[0.15789473684210525, 0.0, 0.975, 0.425, 0.99, 0.08717948717948718, 0.2619047619047619, 0.627906976744186]","[0.24489795918367346, 0.0, 0.6782608695652174, 0.5782312925170068, 0.792, 0.16037735849056603, 0.41509433962264153, 0.5179856115107914]","[38, 6, 200, 200, 200, 195, 42, 172]",0.34402202474555066,28.199615761336986,1.541402826737771,,"{np.int64(-1): 7, np.int64(0): 2, np.int64(1): 4, np.int64(2): 6, np.int64(3): 2, np.int64(4): 2, np.int64(5): 3, np.int64(6): 0, np.int64(7): 7, np.int64(8): 3, np.int64(9): 2, np.int64(10): 7, np.int64(11): 3, np.int64(12): 5, np.int64(13): 3, np.int64(14): 4, np.int64(15): 5, np.int64(16): 6, np.int64(17): 3, np.int64(18): 3, np.int64(19): 7, np.int64(20): 2}"
